Email Address,package weight,cost
Dalia_Windsor1927450756@joiniaa.com,7.51502298075474,68
Katelyn_Gregory1015670840@hourpy.biz,12.6171666405244,33
Daria_Gilmore878290366@brety.org,3.3193675527905,24
Jessica_Brooks284941408@eirey.tech,1.91747325701521,42
Rowan_Hunter1833032334@gmail.com,14.5152182520904,20
Alexander_Harper1910246826@sveldo.biz,1.92002922572197,10
Alison_Ranks728759556@vetan.org,5.74498516681836,42
Javier_Driscoll1388315602@deavo.com,9.33576048320893,32
Roger_Miller650378205@womeona.net,11.7087148272939,18
Harvey_Lindop1018412283@jiman.org,6.47149957459024,52
Tony_Pitt231389285@qater.org,16.2256585649334,99
Jack_Thorne1617404113@fuliss.net,16.9538752604061,30
Kurt_Powell492599210@dionrab.com,12.7267260466361,39
Cara_Robinson1604884065@dionrab.com,7.80325197279605,99
Charlotte_Dale1916107305@eirey.tech,6.42417882449188,18
Felicity_Walsh2013916097@nickia.com,4.22359269821252,40
Ron_Jones1626550779@gembat.biz,12.6851373569505,33
Phillip_Moreno430610667@yahoo.com,15.9172128201077,78
Johnathan_Webster989621831@hourpy.biz,17.1590711926851,38
Victoria_Roberts524019078@typill.biz,11.2197844368498,74
Harvey_Emmett707683759@nanoff.biz,2.44673006117657,26
Lucas_Larsen2099282919@tonsy.org,15.8378674377864,26
Clint_Bryant541432976@naiker.biz,6.71061935634847,38
Roger_Jobson293865608@grannar.com,0.391458288483069,72
Harvey_Widdows2142221969@corti.com,3.42631054223809,11
Nathan_Jobson2131017959@eirey.tech,0.991990134581919,14
Luke_Appleton661923727@jiman.org,8.38399370451644,59
Regina_Strong852103622@twace.org,13.5954566041918,46
Keira_Cooper1740536506@twipet.com,4.60750335622928,78
Gil_Janes1336009294@brety.org,16.876379215101,58
Joseph_Latham889690442@gmail.com,13.4787577155413,89
Scarlett_Eyres809476826@liret.org,2.40714057740157,24
Bob_Andersson681520306@jiman.org,7.35536430373572,22
Russel_Harrington1645383700@gmail.com,11.3242568198239,92
Maxwell_Kelly1628655118@sheye.org,3.78016377928674,28
Katelyn_Ebden1102798357@bulaffy.com,12.043410768287,29
Eileen_Locke883028897@womeona.net,18.8021148959185,72
Anthony_Moore18782681@fuliss.net,16.3134932319231,73
Luke_Wood1157185996@hourpy.biz,10.0333654778234,95
Phillip_Vernon1692179776@twace.org,9.91365092802497,34
Bridget_Sheldon1495108961@bauros.biz,11.2093370036266,82
Ally_Fisher1996089795@fuliss.net,19.0941072102143,61
Julia_Powell1887192565@sheye.org,11.1882700329592,77
Michaela_Crawford72120735@bungar.biz,17.6333324423215,18
Parker_Baker204089561@supunk.biz,9.9079162696879,59
Alexia_Morris525987361@elnee.tech,12.8054470386381,19
Drew_Rigg1710424006@ubusive.com,3.29982562703072,89
Chadwick_Campbell1619018823@naiker.biz,9.0272911945485,59
Barry_Willson249533890@mafthy.com,3.66209266458735,71
Winnie_Bolton266535879@iatim.tech,3.48614338249254,42
Denny_Coleman1123021531@dionrab.com,17.5597446274756,29
Eden_Rowlands1057241311@liret.org,3.5414300689201,71
Daniel_Mullins1147803055@womeona.net,17.9821022669701,92
Oliver_Parker248434888@famism.biz,17.7096427281898,62
Chris_Rodgers1333192489@liret.org,18.749013606342,49
Agnes_Allwood1488957470@nickia.com,12.59303020341,43
Adalind_Nicolas465291054@gompie.com,3.6950469625625,83
Mavis_Connor1665791579@typill.biz,15.6824442877818,95
Liam_Rodgers571977173@extex.org,5.69031088971082,91
Rosalee_Brown157428531@cispeto.com,4.63111843524087,45
Carter_Needham1204514748@extex.org,2.05947588899148,20
Nathan_Bingham841522198@mafthy.com,15.2358278768304,40
Elijah_Fisher1222225161@yahoo.com,7.43851677488467,32
Harriet_Eaton1523991534@yahoo.com,8.40646815179217,60
Chester_Hooper1097516291@yahoo.com,3.62672463088609,29
Amelia_Eddison1716940537@joiniaa.com,19.2871933622692,90
Luna_Fox1836023179@womeona.net,18.9183985837355,83
Lily_Dixon1292037039@brety.org,12.0117404754328,69
Boris_Warden849581528@sveldo.biz,16.0786049049714,51
Marie_Glynn1754168772@deavo.com,15.4889987374139,11
Tom_Wooldridge1629454752@dionrab.com,4.49605640792104,28
Jules_Allington812039988@yahoo.com,2.29862168072659,64
Emma_Newman2109784810@sveldo.biz,3.89156771911847,58
Ramon_Rogers563981405@hourpy.biz,15.4818525614598,21
Benny_Gardner792428796@nimogy.biz,3.21590989745032,27
Cara_Strong1836558756@yahoo.com,11.8470436832155,82
Tom_Osman60540667@grannar.com,0.44025552805525,48
Janelle_Oliver696787191@extex.org,6.29877831288557,45
Catherine_Parsons265457788@bulaffy.com,11.6406493650939,85
Amelia_Donovan145450653@guentu.biz,18.7529450895977,35
Tiffany_Higgs1568731434@twace.org,16.5382737850483,20
